,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
55,pedestrian_1-1-veh_692_tr,hbefa3/pc_g_eu4,1.0,152535_6_1,taxi,5472.3,2549.04,152535_6,7.430464007216813,43.742669293321065,1
56,pedestrian_1-1-veh_701_tr,hbefa3/pc_g_eu4,1.13,152385_0,uber,4823.5,2041.55,152385,7.4225299945710255,43.73760292961856,1
57,pedestrian_1-1-veh_710_tr,hbefa3/pc_g_eu4,1.13,152767_0_1,taxi,4633.4,2161.9,152767_0,7.420034817374784,43.73865188092624,1
58,pedestrian_1-1-veh_741_tr,hbefa3/pc_g_eu4,0.93,152701_2_1,uber,4806.75,2243.3,152701_2,7.4203527327518595,43.73872713576025,1
59,pedestrian_1-1-veh_752_tr,hbefa3/pc_g_eu4,1.13,152667_10_2,taxi,5377.57,2834.47,152667_10,7.428708803342658,43.74381863207318,1
60,pedestrian_1-1-veh_75_tr,hbefa3/pc_g_eu4,0.9,152944_2_1,taxi,4571.98,2149.14,152944_2,7.41933498584095,43.73854100027936,1
61,pedestrian_1-1-veh_767_tr,hbefa3/pc_g_eu4,0.0,152816_5_2,uber,4719.64,1827.27,152816_5,7.421569278852506,43.73681578935719,1
62,pedestrian_1-1-veh_780_tr,hbefa3/pc_g_eu4,1.12,152453_1,taxi,5609.7,3154.22,152453,7.43191531234596,43.74772051892096,1
63,pedestrian_1-1-veh_787_tr,hbefa3/pc_g_eu4,1.0,152354_1_1,taxi,5381.86,2921.33,152354_1,7.430156311149092,43.746269001804,1
64,pedestrian_1-1-veh_791_tr,hbefa3/pc_g_eu4,1.0,152767_0_1,taxi,4659.6,2132.4,152767_0,7.420034817374784,43.73865188092624,1
65,pedestrian_1-1-veh_795_tr,hbefa3/pc_g_eu4,1.0,152780_1,uber,4866.38,2186.16,152780,7.422521165501899,43.739329460257615,1
66,pedestrian_1-1-veh_802_tr,hbefa3/pc_g_eu4,1.13,152667_10_1,uber,5372.0,2828.42,152667_10,7.4287450048820896,43.74380679470676,1
67,pedestrian_1-1-veh_819_tr,hbefa3/pc_g_eu4,1.13,152712_1,taxi,4836.71,2342.32,152712,7.422603113381464,43.74031362262753,1
68,pedestrian_1-1-veh_854_tr,hbefa3/pc_g_eu4,1.13,152781_1,taxi,4981.75,2118.73,152781,7.425612443088029,43.73854896804145,1
69,pedestrian_1-1-veh_855_tr,hbefa3/pc_g_eu4,1.13,152677_0_1,taxi,5406.42,2436.29,152677_0,7.429664253868867,43.74127136596668,1
70,pedestrian_1-1-veh_857_tr,hbefa3/pc_g_eu4,1.13,152698_1,taxi,5075.01,2704.95,152698,7.425288426605073,43.74346695149293,1
71,pedestrian_1-1-veh_858_tr,hbefa3/pc_g_eu4,1.0,152606_1_1,taxi,5576.01,3199.67,152606_1,7.43158531565344,43.7481244904308,1
72,pedestrian_1-1-veh_876_tr,hbefa3/pc_g_eu4,1.13,152939_1_1,uber,4792.2,2056.65,152939_1,7.4222625827974,43.73769944975256,1
73,pedestrian_1-1-veh_891_tr,hbefa3/pc_g_eu4,0.9,152817_0_1,uber,4874.53,1410.19,152817_0,7.427048995770164,43.732558372748976,1
74,pedestrian_1-1-veh_893_tr,hbefa3/pc_g_eu4,1.13,152677_0_1,uber,5406.42,2436.29,152677_0,7.429664253868867,43.74127136596668,1
75,pedestrian_1-1-veh_898_tr,hbefa3/pc_g_eu4,1.0,152701_0_1,uber,4610.08,2185.32,152701_0,7.419575640967865,43.7387490745554,1
76,pedestrian_1-1-veh_94_tr,hbefa3/pc_g_eu4,1.13,152229_2,taxi,4574.84,2173.08,152229,7.419399812013624,43.73875798737404,1
77,pedestrian_2-1_1000_tr,hbefa3/pc_g_eu4,1.13,152453_1,taxi,5606.53,3162.15,152453,7.43191531234596,43.74772051892096,1
78,pedestrian_2-1_1003_tr,hbefa3/pc_g_eu4,1.0,152937_3_1,uber,5529.47,3283.68,152937_3,7.430984284531499,43.74890947019392,1
79,pedestrian_2-1_1022_tr,hbefa3/pc_g_eu4,1.13,152699_1,uber,4972.82,2407.21,152699,7.423725502691167,43.74034216599415,1
80,pedestrian_2-1_1036_tr,hbefa3/pc_g_eu4,1.13,152649_1_1,taxi,5160.86,2753.96,152649_1,7.42667707646459,43.74420926141117,1
81,pedestrian_2-1_1073_tr,hbefa3/pc_g_eu4,1.13,152648_6_1,taxi,5304.96,2828.77,152648_6,7.428242470896364,43.74471979781872,1
82,pedestrian_2-1_1090_tr,hbefa3/pc_g_eu4,1.0,153415_1_1,taxi,4702.99,2392.11,153415_1,7.421542403089443,43.74124130964396,1
83,pedestrian_2-1_1093_tr,hbefa3/pc_g_eu4,1.13,153423_3_2,uber,4192.02,2539.95,153423_3,7.415775592640104,43.74170821397994,1
84,pedestrian_2-1_1118_tr,hbefa3/pc_g_eu4,1.01,153413_1_1,taxi,5086.94,2740.66,153413_1,7.426597682539424,43.74438122052421,1
85,pedestrian_2-1_1135_tr,hbefa3/pc_g_eu4,1.12,152944_2_1,taxi,4569.9,2135.9,152944_2,7.41933498584095,43.73854100027936,1
86,pedestrian_2-1_1150_tr,hbefa3/pc_g_eu4,1.0,152708_1_1,taxi,4724.46,2237.23,152708_1,7.420253545187488,43.739004431161,1
87,pedestrian_2-1_1185_tr,hbefa3/pc_g_eu4,1.07,152703_1,uber,4996.4,2326.1,152703,7.4243133429058945,43.74005080799117,1
88,pedestrian_2-1_1202_tr,hbefa3/pc_g_eu4,0.98,153423_3_1,uber,4201.02,2537.38,153423_3,7.415777191716104,43.74173704818613,1
89,pedestrian_2-1_1248_tr,hbefa3/pc_g_eu4,1.0,153330_0_1,uber,4799.2,2698.99,153330_0,7.420892602645629,43.74282563767041,1
90,pedestrian_2-1_1280_tr,hbefa3/pc_g_eu4,1.13,152693_1_1,taxi,4807.03,2370.56,152693_1,7.422142645661729,43.74052110483147,1
91,pedestrian_2-1_1287_tr,hbefa3/pc_g_eu4,1.13,153420_7_1,taxi,4974.48,2948.33,153420_7,7.4240693844233885,43.74576600280248,1
92,pedestrian_2-1_1289_tr,hbefa3/pc_g_eu4,1.0,152667_5_1,taxi,5243.48,2526.83,152667_5,7.427523581677126,43.74200355684615,1
93,pedestrian_2-1_128_tr,hbefa3/pc_g_eu4,1.0,152606_3_1,uber,5557.13,3152.74,152606_3,7.431254464109463,43.74774800371824,1
94,pedestrian_2-1_1305_tr,hbefa3/pc_g_eu4,1.0,152648_6_1,uber,5323.05,2876.66,152648_6,7.428242470896364,43.74471979781872,1
95,pedestrian_2-1_1313_tr,hbefa3/pc_g_eu4,1.13,152780_1,taxi,4866.76,2162.07,152780,7.422521165501899,43.739329460257615,1
96,pedestrian_2-1_1314_tr,hbefa3/pc_g_eu4,0.93,153384_1_1,uber,4715.16,3424.36,153384_1,7.422667970437861,43.74951942009191,1
97,pedestrian_2-1_1315_tr,hbefa3/pc_g_eu4,1.0,153413_11_1,uber,4817.16,2475.89,153413_11,7.422661433444616,43.74187604045863,1
98,pedestrian_2-1_1339_tr,hbefa3/pc_g_eu4,1.0,153330_0_1,taxi,4799.2,2698.99,153330_0,7.420892602645629,43.74282563767041,1
99,pedestrian_2-1_1347_tr,hbefa3/pc_g_eu4,1.0,152608_1,uber,5498.34,3107.23,152608,7.430283891775882,43.74671454963204,1
100,pedestrian_2-1_1371_tr,hbefa3/pc_g_eu4,1.13,152693_1_1,uber,4807.03,2370.56,152693_1,7.422142645661729,43.74052110483147,1
101,pedestrian_2-1_1381_tr,hbefa3/pc_g_eu4,1.13,153412_2_1,taxi,4574.89,2604.1,153412_2,7.4192003237476225,43.74258686959,1
102,pedestrian_2-1_1414_tr,hbefa3/pc_g_eu4,1.13,152648_6_1,uber,5304.96,2828.77,152648_6,7.428242470896364,43.74471979781872,1
103,pedestrian_2-1_1417_tr,hbefa3/pc_g_eu4,1.0,153331_7_1,taxi,4863.97,2668.08,153331_7,7.422614871972857,43.74308154166855,1
104,pedestrian_2-1_1432_tr,hbefa3/pc_g_eu4,1.0,152696_1,uber,4892.27,2434.58,152696,7.422858843092192,43.740875295792215,1
105,pedestrian_2-1_1451_tr,hbefa3/pc_g_eu4,1.0,153330_0_1,uber,4799.2,2698.99,153330_0,7.420892602645629,43.74282563767041,1
106,pedestrian_2-1_145_tr,hbefa3/pc_g_eu4,1.04,153423_1_1,uber,4452.54,2568.09,153423_1,7.418571736619037,43.74232021435641,1
107,pedestrian_2-1_1485_tr,hbefa3/pc_g_eu4,1.01,152996_2_1,taxi,4874.43,2647.31,152996_2,7.422839315480593,43.74294328059868,1
108,pedestrian_2-1_1501_tr,hbefa3/pc_g_eu4,1.13,153423_3_2,taxi,4196.85,2540.29,153423_3,7.415775592640104,43.74170821397994,1
109,pedestrian_2-1_1504_tr,hbefa3/pc_g_eu4,0.93,153423_3_1,uber,4188.15,2536.22,153423_3,7.415777191716104,43.74173704818613,1
110,pedestrian_2-1_1514_tr,hbefa3/pc_g_eu4,1.13,153331_11_1,uber,5008.12,2823.81,153331_11,7.423973521622085,43.74441177598226,1
111,pedestrian_2-1_153_tr,hbefa3/pc_g_eu4,1.13,153330_0_1,taxi,4712.14,2627.34,153330_0,7.420892602645629,43.74282563767041,1
112,pedestrian_2-1_1545_tr,hbefa3/pc_g_eu4,1.13,153413_1_1,taxi,5159.52,2782.22,153413_1,7.426597682539424,43.74438122052421,1
113,pedestrian_2-1_161_tr,hbefa3/pc_g_eu4,1.13,152996_2_1,uber,4935.2,2691.52,152996_2,7.422839315480593,43.74294328059868,1
114,pedestrian_2-1_1663_tr,hbefa3/pc_g_eu4,1.07,153331_7_1,uber,4855.54,2659.36,153331_7,7.422614871972857,43.74308154166855,1
115,pedestrian_2-1_1680_tr,hbefa3/pc_g_eu4,1.0,153387_4_1,uber,4429.73,3534.78,153387_4,7.417255892385748,43.75104491225271,1
116,pedestrian_2-1_1718_tr,hbefa3/pc_g_eu4,1.0,152608_1,taxi,5492.89,3085.88,152608,7.430283891775882,43.74671454963204,1
117,pedestrian_2-1_1737_tr,hbefa3/pc_g_eu4,1.0,152820_1,uber,4614.46,1847.62,152820,7.421477869262086,43.73700063460476,1
118,pedestrian_2-1_173_tr,hbefa3/pc_g_eu4,1.13,153415_1_1,taxi,4751.8,2447.16,153415_1,7.421542403089443,43.74124130964396,1
119,pedestrian_2-1_1754_tr,hbefa3/pc_g_eu4,1.0,153399_1_1,taxi,5242.26,3000.88,153399_1,7.427269394094772,43.744909804241445,1
120,pedestrian_2-1_179_tr,hbefa3/pc_g_eu4,1.13,152781_1,taxi,5006.77,2106.39,152781,7.425612443088029,43.73854896804145,1
121,pedestrian_2-1_1807_tr,hbefa3/pc_g_eu4,1.0,152649_4_1,uber,5014.57,2587.49,152649_4,7.425131143477895,43.74290069829946,1
122,pedestrian_2-1_1819_tr,hbefa3/pc_g_eu4,1.0,153410_0_1,uber,4340.03,2510.3,153410_0,7.416171358477254,43.74169029032071,1
123,pedestrian_2-1_1855_tr,hbefa3/pc_g_eu4,1.0,153410_0_1,uber,4334.23,2507.17,153410_0,7.416171358477254,43.74169029032071,1
